"PTM","Residue","Allele","n","PTM_Residue"
"cysteinylation","C","A0201",1450,"C cysteinylation"
"cysteinylation","C","B0702",740,"C cysteinylation"
"cysteinylation","C","C0702",165,"C cysteinylation"
"phosphorylation","S/T/Y","A0201",220,"S/T/Y phosphorylation"
"phosphorylation","S/T/Y","B0702",419,"S/T/Y phosphorylation"
"phosphorylation","S/T/Y","C0702",63,"S/T/Y phosphorylation"
"ubiquitination","K/S/T","A0201",194,"K/S/T ubiquitination"
"ubiquitination","K/S/T","B0702",153,"K/S/T ubiquitination"
"ubiquitination","K/S/T","C0702",79,"K/S/T ubiquitination"
