"","Corr","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"Artifact Oxidation",0.582175646703066,-0.288550368061893,1.10479760261942,0.717658320425566,-1.97461963894079,-1.26348763528809,-0.820105015692429,-0.421108974450177,-0.318500838931754,0.448848336256209,0.65079853080562,0.359979973041633,0.0430187049635138,-0.0673804170327876,-0.22326749440773
"Cysteinylation",0.657425052087809,-0.111768277809431,-1.98633500455089,-0.904734325182408,-1.02595347070799,0.0221293213196245,-0.525801603130367,0.611728521540602,0.852740031383417,0.344919273141208,0.407401793585436,-0.122196232917064,-0.335257454403829,0.190471167959892,0.288107515681055
"Deamidation",0.804863124902256,-0.762028750706132,-1.70696902265518,0.357947181451929,0.584064016236751,0.305062359877124,0.273948640240098,0.184755412371809,0.343034007679282,-0.814995910941974,0.0640061668144792,-0.228222477454898,-1.25177861217191,-0.934496228146067,0.500955774588345
"Oxidation",0.282651548069983,1.38155959851431,0.681667955666384,-0.832360379111349,-1.32880261301045,-1.29223507330968,-1.36632117622971,-1.05933233640503,-0.730996953740398,-2.57858604433442,1.87075037481016,1.54411984782032,1.02816449306182,-0.237684113500688,-2.88489934549852
"Phosphorylation",0.546801094982284,-0.0223239136004293,-2.6461844340194,-0.336772355372216,1.86027310924914,-0.0701995294174986,0.324777323767787,-0.713853918912676,-0.336772355372216,-0.994532062510406,-1.20833818417745,-3,-3,-1.3271351910619,-1.81609452632312
"Ubiquitination",0.0976278107764613,0.867773347560626,-0.124531438648391,0.0988049178220154,-0.586443829465558,-0.556510702324937,-1.42361714282144,-2.49568795571012,-1.6577741089316,-0.899913375256387,1.03234221819699,1.49407840926583,2.32592377472356,2.36482682759417,1.93178678324756
"Acetylation",0.22424940620464,3,-3,-1.62333427739303,-2.25083362659789,-3,-3,-3,-3,-3,-2.55548654116301,-3,-3,-0.978347764367321,-0.105618055410681
"Methylation",0.712330077917529,0.788359082100243,0.0215326693096361,0.679378057999612,-0.311856534926421,-0.238730101543426,-1.08769706937016,-0.0392648928926404,-0.470266475056436,-1.30470725926928,0.873932278066977,-0.027855694282674,-0.945801982104526,0.425649574208979,0.909572301973284
"Citrullination",0.556291827621931,-0.106032990942159,-1.77277311129242,1.09180501924055,-1.20393811068595,0.190683133315735,0.277420095546533,-0.629828313943985,-0.220247935872994,-0.972695151676424,0.864193160560457,0.705647926649038,1.2686451004156,0.19589262648716,0.158861040029891
"Dimethylation",0.590629872986643,0.201086106975896,0.65717343395563,1.44190507250534,-0.209874424674648,-0.786717391974469,-0.786717391974469,-0.469655531449833,-0.786717391974469,-2.48438451566546,0.724704925714737,-3,-0.243044263573435,0.205710055244123,-2.88489934549852
"N-Glycosylation",0.356759497656993,-1.34928014986591,-0.776325461767103,-0.049038599914557,0.623560347188293,-0.049038599914557,-1.34928014986591,0.792469555522099,-0.367329556659323,-3,0.56787329135631,2.53314638452328,-3,1.57205738005319,-2.88489934549852
